,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Usage Rate,Tier
166,685,Slurpuff,Fairy,,82,80,86,85,75,72,480,80.0,6,1.93794%,UU
167,687,Malamar,Dark,Psychic,86,92,88,68,75,73,482,80.33,6,0.17334%,UU
168,689,Barbaracle,Rock,Water,72,105,115,54,86,68,500,83.33,6,8.24609%,UU
169,695,Heliolisk,Electric,Normal,62,55,52,109,94,109,481,80.17,6,3.37649%,UU
170,700,Sylveon,Fairy,,95,65,65,110,130,60,525,87.5,6,30.85321%,UU
171,705,Sliggoo,Dragon,,68,75,53,83,113,60,452,75.33,6,0.00627%,UU
172,706,Goodra,Dragon,,90,100,70,110,150,80,600,100.0,6,1.49366%,UU
173,709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474,79.0,6,0.00923%,UU
174,713,Avalugg,Ice,,95,117,184,44,46,28,514,85.67,6,3.66374%,UU
175,715,Noivern,Flying,Dragon,85,70,80,97,80,123,535,89.17,6,38.70327%,UU
176,723,Dartrix,Grass,Flying,78,75,75,70,70,52,420,70.0,7,0.00021%,UU
177,724,Decidueye,Grass,Ghost,78,107,75,100,100,70,530,88.33,7,0.60617%,UU
178,726,Torracat,Fire,,65,85,50,80,50,90,420,70.0,7,0.00199%,UU
179,727,Incineroar,Fire,Dark,95,115,90,80,90,60,530,88.33,7,29.24782%,UU
180,729,Brionne,Water,,60,69,69,91,81,50,420,70.0,7,0.00002%,UU
181,738,Vikavolt,Bug,Electric,77,70,90,145,75,43,500,83.33,7,0.92815%,UU
182,743,Ribombee,Bug,Fairy,60,55,60,95,70,124,464,77.33,7,3.33804%,UU
183,747,Mareanie,Poison,Water,50,53,62,43,52,45,305,50.83,7,0.03318%,UU
184,750,Mudsdale,Ground,,100,125,100,55,85,35,500,83.33,7,0.10734%,UU
185,752,Araquanid,Water,Bug,68,70,92,50,132,42,454,75.67,7,5.25808%,UU
186,756,Shiinotic,Grass,Fairy,60,45,80,90,100,30,405,67.5,7,0.02510%,UU
187,758,Salazzle,Poison,Fire,68,64,60,111,60,117,480,80.0,7,1.60910%,UU
188,760,Bewear,Normal,Fighting,120,125,80,55,60,60,500,83.33,7,0.35432%,UU
189,763,Tsareena,Grass,,72,120,98,50,98,72,510,85.0,7,4.70651%,UU
190,765,Oranguru,Normal,Psychic,90,60,80,90,110,60,490,81.67,7,0.00010%,UU
191,766,Passimian,Fighting,,100,120,90,40,60,80,490,81.67,7,1.16970%,UU
192,768,Golisopod,Bug,Water,75,125,140,60,90,40,530,88.33,7,16.02039%,UU
193,771,Pyukumuku,Water,,55,60,130,30,130,5,410,68.33,7,3.26931%,UU
194,772,Type: Null,Normal,,95,95,95,95,95,59,534,89.0,7,0.00517%,UU
195,773,Silvally,Normal,,95,95,95,95,95,95,570,95.0,7,0.01583%,UU
196,776,Turtonator,Fire,Dragon,60,78,135,91,85,36,485,80.83,7,0.02583%,UU
197,777,Togedemaru,Electric,Steel,65,98,63,40,73,96,435,72.5,7,0.64918%,UU
198,780,Drampa,Normal,Dragon,78,60,85,135,91,36,485,80.83,7,0.06070%,UU
199,781,Dhelmise,Ghost,Grass,70,131,100,86,90,40,517,86.17,7,0.19995%,UU
200,783,Hakamo-o,Dragon,Fighting,55,75,90,65,70,65,420,70.0,7,0.00196%,UU
201,800,Necrozma,Psychic,,97,107,101,127,89,79,600,100.0,7,10.29032%,UU
202,812,Rillaboom,Grass,,100,125,90,60,70,85,530,88.33,8,0.12055%,UU
203,818,Inteleon,Water,,70,85,65,125,65,120,530,88.33,8,3.53571%,UU
204,820,Greedent,Normal,,120,95,95,55,75,20,460,76.67,8,0.00393%,UU
205,822,Corvisquire,Flying,,68,67,55,43,55,77,365,60.83,8,0.00002%,UU
206,825,Dottler,Bug,Psychic,50,35,80,50,90,30,335,55.83,8,0.00015%,UU
207,826,Orbeetle,Bug,Psychic,60,45,110,80,120,90,505,84.17,8,0.02633%,UU
208,828,Thievul,Dark,,70,58,58,87,92,90,455,75.83,8,0.00509%,UU
209,830,Eldegoss,Grass,,60,50,90,80,120,60,460,76.67,8,0.04176%,UU
210,831,Wooloo,Normal,,42,40,55,40,45,48,270,45.0,8,0.00001%,UU
211,832,Dubwool,Normal,,72,80,100,60,90,88,490,81.67,8,0.04281%,UU
212,834,Drednaw,Water,Rock,90,115,90,48,68,74,485,80.83,8,0.03744%,UU
213,836,Boltund,Electric,,69,90,60,90,60,121,490,81.67,8,0.08370%,UU
214,838,Carkol,Rock,Fire,80,60,90,60,70,50,410,68.33,8,0.00041%,UU
215,839,Coalossal,Rock,Fire,110,80,120,80,90,30,510,85.0,8,0.37331%,UU
216,841,Flapple,"Grass
",Dragon,70,110,80,95,60,70,485,80.83,8,0.19735%,UU
217,842,Appletun,Grass,"Dragon
",110,85,80,100,80,30,485,80.83,8,0.04358%,UU
218,844,Sandaconda,Ground,,72,107,125,65,70,71,510,85.0,8,3.45959%,UU
219,845,Cramorant,Flying,Water,70,85,55,85,95,85,475,79.17,8,0.07656%,UU
220,847,Barraskewda,Water,,61,123,60,60,50,136,490,81.67,8,0.77283%,UU
221,851,Centiskorch,Fire,Bug,100,115,65,90,90,65,525,87.5,8,1.08760%,UU
222,853,Grapploct,Fighting,,80,118,90,70,80,42,480,80.0,8,0.01320%,UU
223,854,Sinistea,Ghost,,40,45,45,74,54,50,308,51.33,8,0.00001%,UU
224,855,Polteageist,Ghost,,60,65,65,134,114,70,508,84.67,8,8.47435%,UU
225,857,Hattrem,Psychic,,57,40,65,86,73,49,370,61.67,8,0.00369%,UU
226,860,Morgrem,Dark,Fairy,65,60,45,75,55,70,370,61.67,8,0.62874%,UU
227,863,Perrserker,Steel,,70,110,100,50,60,50,440,73.33,8,0.13428%,UU
228,864,Cursola,Ghost,,60,95,50,145,130,30,510,85.0,8,0.06719%,UU
229,865,Sirfetch'd,Fighting,,62,135,95,68,82,65,507,84.5,8,3.90379%,UU
230,866,Mr. Rime,Ice,Psychic,80,85,75,110,100,70,520,86.67,8,0.03655%,UU
231,867,Runerigus,Ground,Ghost,58,95,145,50,105,30,483,80.5,8,0.63436%,UU
232,869,Alcremie,Fairy,,65,60,75,110,121,64,495,82.5,8,0.03961%,UU
233,870,Falinks,Fighting,,65,100,100,70,60,75,470,78.33,8,0.15109%,UU
234,871,Pincurchin,Electric,,48,101,95,91,85,15,435,72.5,8,0.06263%,UU
235,872,Snom,Ice,Bug,30,25,35,45,30,20,185,30.83,8,0.00485%,UU
236,873,Frosmoth,Ice,Bug,70,65,60,125,90,65,475,79.17,8,0.31178%,UU
237,874,Stonjourner,Rock,,100,125,135,20,20,70,470,78.33,8,0.02442%,UU
238,877,Morpeko,Electric,Dark,58,95,58,70,58,97,436,72.67,8,0.58202%,UU
239,879,Copperajah,Steel,,122,130,69,80,69,30,500,83.33,8,2.50127%,UU
240,881,Arctozolt,Electric,Ice,90,100,90,90,80,55,505,84.17,8,0.01599%,UU
241,883,Arctovish,Water,Ice,90,90,100,80,90,55,505,84.17,8,0.00819%,UU
242,884,Duraludon,Steel,Dragon,70,95,115,120,50,85,535,89.17,8,3.09772%,UU
243,886,Drakloak,Dragon,Ghost,68,80,50,60,50,102,410,68.33,8,0.00018%,UU
