,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Usage Rate,Tier
35,99,Kingler,Water,,55,130,115,50,50,75,475,79.17,1,0.03772%,OU
36,106,Hitmonlee,Fighting,,50,120,53,35,110,87,455,75.83,1,0.03944%,OU
37,107,Hitmonchan,Fighting,,50,105,79,35,110,76,455,75.83,1,0.00524%,OU
38,110,Weezing,Poison,,65,90,120,85,70,60,490,81.67,1,0.00902%,OU
39,112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,80.83,1,0.02048%,OU
40,118,Goldeen,Water,,45,67,60,35,50,63,320,53.33,1,0.00116%,OU
41,119,Seaking,Water,,80,92,65,65,80,68,450,75.0,1,0.00541%,OU
42,122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,76.67,1,0.00144%,OU
43,129,Magikarp,Water,,20,10,55,15,20,80,200,33.33,1,0.00007%,OU
44,130,Gyarados,Water,Flying,95,125,79,60,100,81,540,90.0,1,3.42311%,OU
45,131,Lapras,Water,Ice,130,85,80,85,95,60,535,89.17,1,0.08924%,OU
46,132,Ditto,Normal,,48,48,48,48,48,48,288,48.0,1,3.48548%,OU
47,133,Eevee,Normal,,55,55,50,45,65,55,325,54.17,1,0.00001%,OU
48,134,Vaporeon,Water,,130,65,60,110,95,65,525,87.5,1,1.46355%,OU
49,135,Jolteon,Electric,,65,65,60,110,95,130,525,87.5,1,0.03593%,OU
50,136,Flareon,Fire,,65,130,60,95,110,65,525,87.5,1,0.01296%,OU
51,143,Snorlax,Normal,,160,110,65,65,110,30,540,90.0,1,3.66445%,OU
52,151,Mew,Psychic,,100,100,100,100,100,100,600,100.0,1,8.73222%,OU
53,164,Noctowl,Normal,Flying,100,50,50,86,96,70,452,75.33,2,0.01216%,OU
54,171,Lanturn,Water,Electric,125,58,58,76,76,67,460,76.67,2,0.05058%,OU
55,172,Pichu,Electric,,20,40,15,35,35,60,205,34.17,2,0.00001%,OU
56,175,Togepi,Fairy,,35,20,65,40,65,20,245,40.83,2,0.00005%,OU
57,176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,67.5,2,0.00519%,OU
58,177,Natu,Psychic,Flying,40,50,45,70,45,70,320,53.33,2,0.00010%,OU
59,178,Xatu,Psychic,Flying,65,75,70,95,70,95,470,78.33,2,0.37584%,OU
60,182,Bellossom,Grass,,75,80,95,90,100,50,490,81.67,2,0.00797%,OU
61,185,Sudowoodo,Rock,,70,100,115,30,65,30,410,68.33,2,0.00242%,OU
62,194,Wooper,Water,Ground,55,45,45,25,25,15,210,35.0,2,0.00004%,OU
63,195,Quagsire,Water,Ground,95,85,85,65,65,35,430,71.67,2,2.07714%,OU
64,196,Espeon,Psychic,,65,65,60,130,95,110,525,87.5,2,0.52719%,OU
65,197,Umbreon,Dark,,95,65,110,60,130,65,525,87.5,2,0.49132%,OU
66,202,Wobbuffet,Psychic,,190,33,58,33,58,33,405,67.5,2,0.00050%,OU
67,208,Steelix,Steel,Ground,75,85,200,55,65,30,510,85.0,2,0.26853%,OU
68,211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,73.33,2,0.01209%,OU
69,213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,84.17,2,1.38752%,OU
70,215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,71.67,2,0.00025%,OU
71,220,Swinub,Ice,Ground,50,50,40,30,30,50,250,41.67,2,0.00114%,OU
72,221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,75.0,2,0.01405%,OU
73,222,Corsola,Water,Rock,65,55,95,65,95,35,410,68.33,2,0.00428%,OU
74,224,Octillery,Water,,75,105,75,105,75,45,480,80.0,2,0.02298%,OU
75,225,Delibird,Ice,Flying,45,55,45,65,45,75,330,55.0,2,0.00097%,OU
76,226,Mantine,Water,Flying,85,40,70,80,140,70,485,80.83,2,1.92495%,OU
77,237,Hitmontop,Fighting,,50,95,95,35,110,70,455,75.83,2,0.02410%,OU
78,247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,68.33,2,0.00031%,OU
79,248,Tyranitar,Rock,Dark,100,134,110,95,100,61,600,100.0,2,9.02628%,OU
80,251,Celebi,Psychic,Grass,100,100,100,100,100,100,600,100.0,2,1.27989%,OU
81,263,Zigzagoon,Normal,,38,30,41,30,41,60,240,40.0,3,0.00002%,OU
82,264,Linoone,Normal,,78,70,61,50,61,100,420,70.0,3,0.00935%,OU
83,272,Ludicolo,Water,Grass,80,70,70,90,100,70,480,80.0,3,0.10942%,OU
84,273,Seedot,Grass,,40,40,50,30,30,30,220,36.67,3,0.00001%,OU
85,275,Shiftry,Grass,Dark,90,100,60,90,60,80,480,80.0,3,0.07660%,OU
86,278,Wingull,Water,Flying,40,30,30,55,30,85,270,45.0,3,0.00001%,OU
87,279,Pelipper,Water,Flying,60,50,100,95,70,65,440,73.33,3,5.51101%,OU
88,281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278,46.33,3,0.00001%,OU
89,282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,518,86.33,3,1.07400%,OU
90,291,Ninjask,Bug,Flying,61,90,45,50,50,160,456,76.0,3,0.00346%,OU
91,292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236,39.33,3,0.15258%,OU
92,302,Sableye,Dark,Ghost,50,75,75,65,65,50,380,63.33,3,0.32167%,OU
93,303,Mawile,Steel,Fairy,50,85,85,55,55,50,380,63.33,3,0.02304%,OU
94,310,Manectric,Electric,,70,75,60,105,60,105,475,79.17,3,0.00550%,OU
95,315,Roselia,Grass,Poison,50,60,45,100,80,65,400,66.67,3,0.00004%,OU
96,320,Wailmer,Water,,130,70,35,70,35,60,400,66.67,3,0.00001%,OU
97,321,Wailord,Water,,170,90,45,90,45,60,500,83.33,3,0.00402%,OU
98,324,Torkoal,Fire,,70,85,140,85,70,20,470,78.33,3,1.66798%,OU
99,328,Trapinch,Ground,,45,100,45,45,45,10,290,48.33,3,0.00003%,OU
100,330,Flygon,Ground,Dragon,80,100,80,80,80,100,520,86.67,3,0.42529%,OU
101,337,Lunatone,Rock,Psychic,90,55,65,95,85,70,460,76.67,3,0.00052%,OU
102,338,Solrock,Rock,Psychic,90,95,85,55,65,70,460,76.67,3,0.00085%,OU
103,340,Whiscash,Water,Ground,110,78,73,76,71,60,468,78.0,3,0.00126%,OU
104,342,Crawdaunt,Water,Dark,63,120,85,90,55,55,468,78.0,3,1.95523%,OU
105,344,Claydol,Ground,Psychic,60,70,105,70,120,75,500,83.33,3,0.08130%,OU
106,350,Milotic,Water,,95,60,79,100,125,81,540,90.0,3,0.19777%,OU
107,355,Duskull,Ghost,,20,40,90,30,90,25,295,49.17,3,0.00001%,OU
108,356,Dusclops,Ghost,,40,70,130,60,130,25,455,75.83,3,0.02508%,OU
109,361,Snorunt,Ice,,50,50,50,50,50,50,300,50.0,3,0.00001%,OU
110,362,Glalie,Ice,,80,80,80,80,80,80,480,80.0,3,0.00009%,OU
111,385,Jirachi,Steel,Psychic,100,100,100,100,100,100,600,100.0,3,6.32025%,OU
112,407,Roserade,Grass,Poison,60,70,65,125,105,90,515,85.83,4,0.37039%,OU
113,416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474,79.0,4,0.00241%,OU
114,420,Cherubi,Grass,,45,35,45,62,53,35,275,45.83,4,0.00840%,OU
115,421,Cherrim,Grass,,70,60,70,87,78,85,450,75.0,4,0.00017%,OU
116,422,Shellos,Water,,76,48,48,57,62,34,325,54.17,4,0.00016%,OU
117,423,Gastrodon,Water,Ground,111,83,68,92,82,39,475,79.17,4,1.55418%,OU
118,425,Drifloon,Ghost,Flying,90,50,34,60,44,70,348,58.0,4,0.00009%,OU
119,426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498,83.0,4,0.03579%,OU
120,434,Stunky,Poison,Dark,63,63,47,41,41,74,329,54.83,4,0.00001%,OU
121,435,Skuntank,Poison,Dark,103,93,67,71,61,84,479,79.83,4,0.00194%,OU
122,436,Bronzor,Steel,Psychic,57,24,86,24,86,23,300,50.0,4,0.00002%,OU
123,437,Bronzong,Steel,Psychic,67,89,116,79,116,33,500,83.33,4,0.20236%,OU
124,439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,310,51.67,4,0.00011%,OU
125,446,Munchlax,Normal,,135,85,40,40,85,5,390,65.0,4,0.00649%,OU
126,447,Riolu,Fighting,,40,70,40,35,40,60,285,47.5,4,0.00844%,OU
127,448,Lucario,Fighting,Steel,70,110,70,115,70,90,525,87.5,4,0.24285%,OU
128,449,Hippopotas,Ground,,68,72,78,38,42,32,330,55.0,4,0.00001%,OU
129,450,Hippowdon,Ground,,108,112,118,68,72,47,525,87.5,4,25.68515%,OU
130,452,Drapion,Poison,Dark,70,90,110,60,75,95,500,83.33,4,0.06629%,OU
131,454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,81.67,4,0.16662%,OU
132,459,Snover,Grass,Ice,60,62,50,62,60,40,334,55.67,4,0.00010%,OU
133,460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,82.33,4,0.01822%,OU
134,461,Weavile,Dark,Ice,70,120,65,45,85,125,510,85.0,4,0.71192%,OU
135,464,Rhyperior,Ground,Rock,115,140,130,55,55,40,535,89.17,4,0.99389%,OU
136,468,Togekiss,Fairy,Flying,85,50,95,120,115,80,545,90.83,4,7.77488%,OU
137,470,Leafeon,Grass,,65,110,130,60,65,95,525,87.5,4,0.04647%,OU
138,471,Glaceon,Ice,,65,60,110,130,95,65,525,87.5,4,0.00373%,OU
139,473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530,88.33,4,2.32177%,OU
140,475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518,86.33,4,0.09919%,OU
141,477,Dusknoir,Ghost,,45,100,135,65,135,45,525,87.5,4,0.00728%,OU
142,478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,80.0,4,0.82104%,OU
143,479,Rotom,Electric,Ghost,50,50,77,95,77,91,440,73.33,4,0.00445%,OU
144,510,Liepard,Dark,,64,88,50,88,50,106,446,74.33,5,0.00393%,OU
145,518,Musharna,Psychic,,116,55,85,107,95,29,487,81.17,5,0.00805%,OU
146,521,Unfezant,Normal,Flying,80,115,80,65,55,93,488,81.33,5,0.00590%,OU
147,524,Roggenrola,Rock,,55,75,85,25,25,15,280,46.67,5,0.00003%,OU
148,525,Boldore,Rock,,70,105,105,50,40,20,390,65.0,5,0.00005%,OU
149,526,Gigalith,Rock,,85,135,130,60,80,25,515,85.83,5,0.33666%,OU
150,528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425,70.83,5,0.01483%,OU
151,529,Drilbur,Ground,,60,85,40,30,45,68,328,54.67,5,0.00472%,OU
152,530,Excadrill,Ground,Steel,110,135,60,50,65,88,508,84.67,5,23.88469%,OU
153,532,Timburr,Fighting,,75,80,55,25,35,35,305,50.83,5,0.00142%,OU
154,533,Gurdurr,Fighting,,85,105,85,40,50,40,405,67.5,5,0.00153%,OU
155,534,Conkeldurr,Fighting,,105,140,95,55,65,45,505,84.17,5,8.36710%,OU
156,536,Palpitoad,Water,Ground,75,65,55,65,55,69,384,64.0,5,0.00163%,OU
157,537,Seismitoad,Water,Ground,105,95,75,85,75,74,509,84.83,5,22.56898%,OU
158,538,Throh,Fighting,,120,100,85,30,85,45,465,77.5,5,0.00321%,OU
159,539,Sawk,Fighting,,75,125,75,30,75,85,465,77.5,5,0.02317%,OU
160,546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,46.67,5,0.00305%,OU
161,547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,480,80.0,5,0.66863%,OU
162,550,Basculin,Water,,70,92,65,80,55,98,460,76.67,5,0.00403%,OU
163,556,Maractus,Grass,,75,86,67,106,67,60,461,76.83,5,0.03151%,OU
164,557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,54.17,5,0.00095%,OU
165,558,Crustle,Bug,Rock,70,105,125,65,75,45,485,80.83,5,0.01548%,OU
166,559,Scraggy,Dark,Fighting,50,75,70,35,70,48,348,58.0,5,0.00001%,OU
167,560,Scrafty,Dark,Fighting,65,90,115,45,115,58,488,81.33,5,0.02469%,OU
168,561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,490,81.67,5,0.27193%,OU
169,563,Cofagrigus,Ghost,,58,50,145,95,105,30,483,80.5,5,0.02759%,OU
170,568,Trubbish,Poison,,50,50,62,40,62,65,329,54.83,5,0.00001%,OU
171,569,Garbodor,Poison,,80,95,82,60,82,75,474,79.0,5,0.00095%,OU
172,573,Cinccino,Normal,,75,95,60,65,60,115,470,78.33,5,0.04280%,OU
173,576,Gothitelle,Psychic,,70,55,95,95,110,65,490,81.67,5,0.00031%,OU
174,577,Solosis,Psychic,,45,30,40,105,50,20,290,48.33,5,0.00024%,OU
175,578,Duosion,Psychic,,65,40,50,125,60,30,370,61.67,5,0.00124%,OU
176,579,Reuniclus,Psychic,,110,65,75,125,85,30,490,81.67,5,3.45808%,OU
177,584,Vanilluxe,Ice,,71,95,85,110,95,79,535,89.17,5,0.05342%,OU
178,589,Escavalier,Bug,Steel,70,135,105,60,105,20,495,82.5,5,0.01124%,OU
179,592,Frillish,Water,Ghost,55,40,50,65,85,40,335,55.83,5,0.00004%,OU
180,593,Jellicent,Water,Ghost,100,60,70,85,105,60,480,80.0,5,0.77838%,OU
181,596,Galvantula,Bug,Electric,70,77,60,97,60,108,472,78.67,5,0.28186%,OU
182,597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305,50.83,5,0.00035%,OU
183,598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,489,81.5,5,25.17680%,OU
184,600,Klang,Steel,,60,80,95,70,85,50,440,73.33,5,0.00002%,OU
185,601,Klinklang,Steel,,60,100,115,70,85,90,520,86.67,5,0.00722%,OU
186,605,Elgyem,Psychic,,55,55,55,85,55,30,335,55.83,5,0.00001%,OU
187,606,Beheeyem,Psychic,,75,75,75,125,95,40,485,80.83,5,0.00046%,OU
188,608,Lampent,Ghost,Fire,60,40,60,95,60,55,370,61.67,5,0.00029%,OU
189,609,Chandelure,Ghost,Fire,60,55,90,145,90,80,520,86.67,5,1.53229%,OU
190,611,Fraxure,Dragon,,66,117,70,40,50,67,410,68.33,5,0.00023%,OU
191,612,Haxorus,Dragon,,76,147,90,60,70,97,540,90.0,5,0.23869%,OU
192,613,Cubchoo,Ice,,55,70,40,60,40,40,305,50.83,5,0.00002%,OU
193,614,Beartic,Ice,,95,130,80,70,80,50,505,84.17,5,0.01797%,OU
194,616,Shelmet,Bug,,50,40,85,40,65,25,305,50.83,5,0.00129%,OU
195,617,Accelgor,Bug,,80,70,40,100,60,145,495,82.5,5,0.14065%,OU
196,618,Stunfisk,Ground,Electric,109,66,84,81,99,32,471,78.5,5,0.14502%,OU
197,623,Golurk,Ground,Ghost,89,124,80,55,80,55,483,80.5,5,0.02733%,OU
198,624,Pawniard,Dark,Steel,45,85,70,40,40,60,340,56.67,5,0.00003%,OU
199,625,Bisharp,Dark,Steel,65,125,100,60,70,70,490,81.67,5,14.30810%,OU
200,627,Rufflet,Normal,Flying,70,83,50,37,50,60,350,58.33,5,0.00010%,OU
201,628,Braviary,Normal,Flying,100,123,75,57,75,80,510,85.0,5,0.08680%,OU
202,629,Vullaby,Dark,Flying,70,55,75,45,65,60,370,61.67,5,0.00001%,OU
203,630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,510,85.0,5,13.47561%,OU
204,631,Heatmor,Fire,,85,97,66,105,66,65,484,80.67,5,0.00133%,OU
205,632,Durant,Bug,Steel,58,109,112,48,48,109,484,80.67,5,0.34993%,OU
206,633,Deino,Dark,Dragon,52,65,50,45,50,38,300,50.0,5,0.00001%,OU
207,634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420,70.0,5,0.00017%,OU
208,635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,600,100.0,5,20.92392%,OU
209,638,Cobalion,Steel,Fighting,91,90,129,90,72,108,580,96.67,5,0.31858%,OU
210,639,Terrakion,Rock,Fighting,91,129,90,72,90,108,580,96.67,5,7.38838%,OU
211,640,Virizion,Grass,Fighting,91,90,72,90,129,108,580,96.67,5,0.04392%,OU
212,647,Keldeo,Water,Fighting,91,72,90,129,90,108,580,96.67,5,4.54024%,OU
213,659,Bunnelby,Normal,,38,36,38,32,36,57,237,39.5,6,0.00001%,OU
214,660,Diggersby,Normal,Ground,85,56,77,50,77,78,423,70.5,6,2.10618%,OU
215,675,Pangoro,Fighting,Dark,95,124,78,69,71,58,495,82.5,6,0.10273%,OU
216,678,Meowstic,Psychic,,74,48,76,83,81,104,466,77.67,6,0.01441%,OU
217,680,Doublade,Steel,Ghost,59,110,150,45,49,35,448,74.67,6,0.01870%,OU
218,683,Aromatisse,Fairy,,101,72,72,99,89,29,462,77.0,6,0.01716%,OU
219,684,Swirlix,Fairy,,62,48,66,59,57,49,341,56.83,6,0.00175%,OU
220,685,Slurpuff,Fairy,,82,80,86,85,75,72,480,80.0,6,0.25410%,OU
221,686,Inkay,Dark,Psychic,53,54,53,37,46,45,288,48.0,6,0.00001%,OU
222,687,Malamar,Dark,Psychic,86,92,88,68,75,73,482,80.33,6,0.01733%,OU
223,689,Barbaracle,Rock,Water,72,105,115,54,86,68,500,83.33,6,0.16297%,OU
224,695,Heliolisk,Electric,Normal,62,55,52,109,94,109,481,80.17,6,0.87003%,OU
225,700,Sylveon,Fairy,,95,65,65,110,130,60,525,87.5,6,1.24076%,OU
226,701,Hawlucha,Fighting,Flying,78,92,75,74,63,118,500,83.33,6,4.95960%,OU
227,705,Sliggoo,Dragon,,68,75,53,83,113,60,452,75.33,6,0.00021%,OU
228,706,Goodra,Dragon,,90,100,70,110,150,80,600,100.0,6,0.18145%,OU
229,709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474,79.0,6,0.00612%,OU
230,713,Avalugg,Ice,,95,117,184,44,46,28,514,85.67,6,0.04452%,OU
231,715,Noivern,Flying,Dragon,85,70,80,97,80,123,535,89.17,6,0.13636%,OU
232,723,Dartrix,Grass,Flying,78,75,75,70,70,52,420,70.0,7,0.00001%,OU
233,724,Decidueye,Grass,Ghost,78,107,75,100,100,70,530,88.33,7,0.18341%,OU
234,726,Torracat,Fire,,65,85,50,80,50,90,420,70.0,7,0.00085%,OU
235,727,Incineroar,Fire,Dark,95,115,90,80,90,60,530,88.33,7,2.10371%,OU
236,728,Popplio,Water,,50,54,54,66,56,40,320,53.33,7,0.00001%,OU
237,730,Primarina,Water,Fairy,80,74,74,126,116,60,530,88.33,7,4.61244%,OU
238,736,Grubbin,Bug,,47,62,45,55,45,46,300,50.0,7,0.00001%,OU
239,737,Charjabug,Bug,Electric,57,82,95,55,75,36,400,66.67,7,0.00083%,OU
240,738,Vikavolt,Bug,Electric,77,70,90,145,75,43,500,83.33,7,0.53526%,OU
241,743,Ribombee,Bug,Fairy,60,55,60,95,70,124,464,77.33,7,1.13485%,OU
242,747,Mareanie,Poison,Water,50,53,62,43,52,45,305,50.83,7,0.00011%,OU
243,748,Toxapex,Poison,Water,50,63,152,53,142,35,495,82.5,7,28.25718%,OU
244,749,Mudbray,Ground,,70,100,70,45,55,45,385,64.17,7,0.00106%,OU
245,750,Mudsdale,Ground,,100,125,100,55,85,35,500,83.33,7,0.03547%,OU
246,752,Araquanid,Water,Bug,68,70,92,50,132,42,454,75.67,7,0.42085%,OU
247,755,Morelull,Grass,Fairy,40,35,55,65,75,15,285,47.5,7,0.00250%,OU
248,756,Shiinotic,Grass,Fairy,60,45,80,90,100,30,405,67.5,7,0.06736%,OU
249,757,Salandit,Poison,Fire,48,44,40,71,40,77,320,53.33,7,0.00002%,OU
250,758,Salazzle,Poison,Fire,68,64,60,111,60,117,480,80.0,7,2.34116%,OU
251,760,Bewear,Normal,Fighting,120,125,80,55,60,60,500,83.33,7,1.65862%,OU
252,763,Tsareena,Grass,,72,120,98,50,98,72,510,85.0,7,0.06815%,OU
253,765,Oranguru,Normal,Psychic,90,60,80,90,110,60,490,81.67,7,0.00053%,OU
254,766,Passimian,Fighting,,100,120,90,40,60,80,490,81.67,7,0.10612%,OU
255,768,Golisopod,Bug,Water,75,125,140,60,90,40,530,88.33,7,0.35622%,OU
256,771,Pyukumuku,Water,,55,60,130,30,130,5,410,68.33,7,0.06495%,OU
257,772,Type: Null,Normal,,95,95,95,95,95,59,534,89.0,7,0.00196%,OU
258,773,Silvally,Normal,,95,95,95,95,95,95,570,95.0,7,0.01417%,OU
259,776,Turtonator,Fire,Dragon,60,78,135,91,85,36,485,80.83,7,0.01504%,OU
260,777,Togedemaru,Electric,Steel,65,98,63,40,73,96,435,72.5,7,0.00989%,OU
261,778,Mimikyu,Ghost,Fairy,55,90,80,50,105,96,476,79.33,7,4.57191%,OU
262,780,Drampa,Normal,Dragon,78,60,85,135,91,36,485,80.83,7,0.02631%,OU
263,781,Dhelmise,Ghost,Grass,70,131,100,86,90,40,517,86.17,7,0.04064%,OU
264,782,Jangmo-o,Dragon,,45,55,65,45,45,45,300,50.0,7,0.00102%,OU
265,783,Hakamo-o,Dragon,Fighting,55,75,90,65,70,65,420,70.0,7,0.00004%,OU
266,784,Kommo-o,Dragon,Fighting,75,110,125,100,105,85,600,100.0,7,13.31267%,OU
267,790,Cosmoem,Psychic,,43,29,131,29,131,37,400,66.67,7,0.00077%,OU
268,800,Necrozma,Psychic,,97,107,101,127,89,79,600,100.0,7,3.69048%,OU
269,807,Zeraora,Electric,,88,112,75,102,80,143,600,100.0,7,24.48428%,OU
270,808,Meltan,Steel,,46,65,65,55,35,34,300,50.0,7,0.03187%,OU
271,809,Melmetal,Steel,,135,143,143,80,65,34,600,100.0,7,16.27880%,OU
272,810,Grookey,Grass,,50,65,50,40,40,65,310,51.67,8,0.00043%,OU
273,812,Rillaboom,Grass,,100,125,90,60,70,85,530,88.33,8,0.07853%,OU
274,813,Scorbunny,Fire,,50,71,40,40,40,69,310,51.67,8,0.00038%,OU
275,814,Raboot,Fire,,65,86,60,55,60,94,420,70.0,8,0.00065%,OU
276,815,Cinderace,Fire,,80,116,75,65,75,119,530,88.33,8,6.76959%,OU
277,817,Drizzile,Water,,65,60,55,95,55,90,420,70.0,8,0.00011%,OU
278,818,Inteleon,Water,,70,85,65,125,65,120,530,88.33,8,0.08819%,OU
279,820,Greedent,Normal,,120,95,95,55,75,20,460,76.67,8,0.01179%,OU
280,823,Corviknight,Flying,Steel,98,87,105,53,85,67,495,82.5,8,31.22480%,OU
281,825,Dottler,Bug,Psychic,50,35,80,50,90,30,335,55.83,8,0.00076%,OU
282,826,Orbeetle,Bug,Psychic,60,45,110,80,120,90,505,84.17,8,0.07768%,OU
283,828,Thievul,Dark,,70,58,58,87,92,90,455,75.83,8,0.00844%,OU
284,830,Eldegoss,Grass,,60,50,90,80,120,60,460,76.67,8,0.02158%,OU
285,831,Wooloo,Normal,,42,40,55,40,45,48,270,45.0,8,0.00003%,OU
286,832,Dubwool,Normal,,72,80,100,60,90,88,490,81.67,8,0.02677%,OU
287,833,Chewtle,Water,,50,64,50,38,38,44,284,47.33,8,0.00007%,OU
288,834,Drednaw,Water,Rock,90,115,90,48,68,74,485,80.83,8,0.03984%,OU
289,836,Boltund,Electric,,69,90,60,90,60,121,490,81.67,8,0.01592%,OU
290,838,Carkol,Rock,Fire,80,60,90,60,70,50,410,68.33,8,0.00142%,OU
291,839,Coalossal,Rock,Fire,110,80,120,80,90,30,510,85.0,8,0.05078%,OU
292,840,Applin,Grass,Dragon,40,40,80,40,40,20,260,43.33,8,0.00001%,OU
293,841,Flapple,"Grass
",Dragon,70,110,80,95,60,70,485,80.83,8,0.04329%,OU
294,842,Appletun,Grass,"Dragon
",110,85,80,100,80,30,485,80.83,8,0.13683%,OU
295,844,Sandaconda,Ground,,72,107,125,65,70,71,510,85.0,8,0.56942%,OU
296,845,Cramorant,Flying,Water,70,85,55,85,95,85,475,79.17,8,0.01859%,OU
297,847,Barraskewda,Water,,61,123,60,60,50,136,490,81.67,8,0.49006%,OU
298,851,Centiskorch,Fire,Bug,100,115,65,90,90,65,525,87.5,8,0.10300%,OU
299,853,Grapploct,Fighting,,80,118,90,70,80,42,480,80.0,8,0.02532%,OU
300,854,Sinistea,Ghost,,40,45,45,74,54,50,308,51.33,8,0.00001%,OU
301,855,Polteageist,Ghost,,60,65,65,134,114,70,508,84.67,8,0.22208%,OU
302,857,Hattrem,Psychic,,57,40,65,86,73,49,370,61.67,8,0.00247%,OU
