,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Usage Rate,Tier
45,211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,73.33,2,3.98666%,RU
46,213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,84.17,2,0.51151%,RU
47,215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,71.67,2,3.18999%,RU
48,220,Swinub,Ice,Ground,50,50,40,30,30,50,250,41.67,2,0.00003%,RU
49,221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,75.0,2,1.04686%,RU
50,222,Corsola,Water,Rock,65,55,95,65,95,35,410,68.33,2,0.54099%,RU
51,224,Octillery,Water,,75,105,75,105,75,45,480,80.0,2,0.01429%,RU
52,225,Delibird,Ice,Flying,45,55,45,65,45,75,330,55.0,2,0.02029%,RU
53,226,Mantine,Water,Flying,85,40,70,80,140,70,485,80.83,2,0.47945%,RU
54,237,Hitmontop,Fighting,,50,95,95,35,110,70,455,75.83,2,0.27163%,RU
55,247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,68.33,2,0.00013%,RU
56,264,Linoone,Normal,,78,70,61,50,61,100,420,70.0,3,1.87319%,RU
57,272,Ludicolo,Water,Grass,80,70,70,90,100,70,480,80.0,3,0.36199%,RU
58,273,Seedot,Grass,,40,40,50,30,30,30,220,36.67,3,0.00080%,RU
59,280,Ralts,Psychic,Fairy,28,25,25,45,35,40,198,33.0,3,0.00003%,RU
60,281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278,46.33,3,0.00018%,RU
61,291,Ninjask,Bug,Flying,61,90,45,50,50,160,456,76.0,3,6.12458%,RU
62,292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236,39.33,3,0.03285%,RU
63,302,Sableye,Dark,Ghost,50,75,75,65,65,50,380,63.33,3,11.90961%,RU
64,303,Mawile,Steel,Fairy,50,85,85,55,55,50,380,63.33,3,0.13813%,RU
65,310,Manectric,Electric,,70,75,60,105,60,105,475,79.17,3,0.07706%,RU
66,315,Roselia,Grass,Poison,50,60,45,100,80,65,400,66.67,3,0.05607%,RU
67,321,Wailord,Water,,170,90,45,90,45,60,500,83.33,3,0.03421%,RU
68,328,Trapinch,Ground,,45,100,45,45,45,10,290,48.33,3,0.00074%,RU
69,329,Vibrava,Ground,Dragon,50,70,50,50,50,70,340,56.67,3,0.00266%,RU
70,337,Lunatone,Rock,Psychic,90,55,65,95,85,70,460,76.67,3,0.42207%,RU
71,338,Solrock,Rock,Psychic,90,95,85,55,65,70,460,76.67,3,0.00802%,RU
72,340,Whiscash,Water,Ground,110,78,73,76,71,60,468,78.0,3,0.02045%,RU
73,341,Corphish,Water,,43,80,65,50,35,35,308,51.33,3,0.00001%,RU
74,344,Claydol,Ground,Psychic,60,70,105,70,120,75,500,83.33,3,6.57879%,RU
75,356,Dusclops,Ghost,,40,70,130,60,130,25,455,75.83,3,0.08838%,RU
76,362,Glalie,Ice,,80,80,80,80,80,80,480,80.0,3,0.00623%,RU
77,416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474,79.0,4,0.13530%,RU
78,420,Cherubi,Grass,,45,35,45,62,53,35,275,45.83,4,0.00001%,RU
79,421,Cherrim,Grass,,70,60,70,87,78,85,450,75.0,4,0.02085%,RU
80,423,Gastrodon,Water,Ground,111,83,68,92,82,39,475,79.17,4,11.72805%,RU
81,425,Drifloon,Ghost,Flying,90,50,34,60,44,70,348,58.0,4,0.00002%,RU
82,426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498,83.0,4,0.44636%,RU
83,435,Skuntank,Poison,Dark,103,93,67,71,61,84,479,79.83,4,0.34954%,RU
84,436,Bronzor,Steel,Psychic,57,24,86,24,86,23,300,50.0,4,0.00512%,RU
85,446,Munchlax,Normal,,135,85,40,40,85,5,390,65.0,4,0.00424%,RU
86,449,Hippopotas,Ground,,68,72,78,38,42,32,330,55.0,4,0.00208%,RU
87,454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,81.67,4,4.23909%,RU
88,458,Mantyke,Water,Flying,45,20,50,60,120,50,345,57.5,4,0.00347%,RU
89,460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,82.33,4,0.16204%,RU
90,470,Leafeon,Grass,,65,110,130,60,65,95,525,87.5,4,1.16070%,RU
91,471,Glaceon,Ice,,65,60,110,130,95,65,525,87.5,4,0.03471%,RU
92,475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518,86.33,4,5.55767%,RU
93,477,Dusknoir,Ghost,,45,100,135,65,135,45,525,87.5,4,0.03575%,RU
94,478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,80.0,4,0.54858%,RU
95,479,Rotom,Electric,Ghost,50,50,77,95,77,91,440,73.33,4,6.47335%,RU
96,509,Purrloin,Dark,,41,50,37,50,37,66,281,46.83,5,0.00001%,RU
97,510,Liepard,Dark,,64,88,50,88,50,106,446,74.33,5,0.10838%,RU
98,518,Musharna,Psychic,,116,55,85,107,95,29,487,81.17,5,0.77350%,RU
99,520,Tranquill,Normal,Flying,62,77,62,50,42,65,358,59.67,5,0.00001%,RU
100,521,Unfezant,Normal,Flying,80,115,80,65,55,93,488,81.33,5,0.22729%,RU
101,524,Roggenrola,Rock,,55,75,85,25,25,15,280,46.67,5,0.00004%,RU
102,525,Boldore,Rock,,70,105,105,50,40,20,390,65.0,5,0.00029%,RU
103,528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425,70.83,5,0.22095%,RU
104,529,Drilbur,Ground,,60,85,40,30,45,68,328,54.67,5,0.06533%,RU
105,533,Gurdurr,Fighting,,85,105,85,40,50,40,405,67.5,5,2.84898%,RU
106,535,Tympole,Water,,50,50,40,50,40,64,294,49.0,5,0.00003%,RU
107,536,Palpitoad,Water,Ground,75,65,55,65,55,69,384,64.0,5,0.01998%,RU
108,538,Throh,Fighting,,120,100,85,30,85,45,465,77.5,5,0.03909%,RU
109,539,Sawk,Fighting,,75,125,75,30,75,85,465,77.5,5,0.68177%,RU
110,546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,46.67,5,0.00001%,RU
111,547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,480,80.0,5,7.42919%,RU
112,550,Basculin,Water,,70,92,65,80,55,98,460,76.67,5,0.02105%,RU
113,554,Darumaka,Fire,,70,90,45,15,45,50,315,52.5,5,0.00012%,RU
114,556,Maractus,Grass,,75,86,67,106,67,60,461,76.83,5,0.09476%,RU
115,557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,54.17,5,0.00006%,RU
116,558,Crustle,Bug,Rock,70,105,125,65,75,45,485,80.83,5,0.85898%,RU
117,560,Scrafty,Dark,Fighting,65,90,115,45,115,58,488,81.33,5,11.18084%,RU
118,563,Cofagrigus,Ghost,,58,50,145,95,105,30,483,80.5,5,2.45972%,RU
119,569,Garbodor,Poison,,80,95,82,60,82,75,474,79.0,5,0.84274%,RU
120,573,Cinccino,Normal,,75,95,60,65,60,115,470,78.33,5,2.57741%,RU
121,576,Gothitelle,Psychic,,70,55,95,95,110,65,490,81.67,5,0.05974%,RU
122,578,Duosion,Psychic,,65,40,50,125,60,30,370,61.67,5,0.05324%,RU
123,584,Vanilluxe,Ice,,71,95,85,110,95,79,535,89.17,5,11.23873%,RU
124,589,Escavalier,Bug,Steel,70,135,105,60,105,20,495,82.5,5,4.88559%,RU
125,593,Jellicent,Water,Ghost,100,60,70,85,105,60,480,80.0,5,21.41515%,RU
126,596,Galvantula,Bug,Electric,70,77,60,97,60,108,472,78.67,5,4.35217%,RU
127,597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305,50.83,5,0.19845%,RU
128,600,Klang,Steel,,60,80,95,70,85,50,440,73.33,5,0.00015%,RU
129,601,Klinklang,Steel,,60,100,115,70,85,90,520,86.67,5,0.11699%,RU
130,605,Elgyem,Psychic,,55,55,55,85,55,30,335,55.83,5,0.00034%,RU
131,606,Beheeyem,Psychic,,75,75,75,125,95,40,485,80.83,5,0.37019%,RU
132,608,Lampent,Ghost,Fire,60,40,60,95,60,55,370,61.67,5,0.00055%,RU
133,611,Fraxure,Dragon,,66,117,70,40,50,67,410,68.33,5,0.02431%,RU
134,614,Beartic,Ice,,95,130,80,70,80,50,505,84.17,5,0.11888%,RU
135,616,Shelmet,Bug,,50,40,85,40,65,25,305,50.83,5,0.00001%,RU
136,617,Accelgor,Bug,,80,70,40,100,60,145,495,82.5,5,3.21769%,RU
137,618,Stunfisk,Ground,Electric,109,66,84,81,99,32,471,78.5,5,0.41289%,RU
138,623,Golurk,Ground,Ghost,89,124,80,55,80,55,483,80.5,5,0.25697%,RU
139,624,Pawniard,Dark,Steel,45,85,70,40,40,60,340,56.67,5,0.06079%,RU
140,629,Vullaby,Dark,Flying,70,55,75,45,65,60,370,61.67,5,0.02018%,RU
141,631,Heatmor,Fire,,85,97,66,105,66,65,484,80.67,5,0.01712%,RU
142,633,Deino,Dark,Dragon,52,65,50,45,50,38,300,50.0,5,0.00004%,RU
143,634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420,70.0,5,0.03154%,RU
144,640,Virizion,Grass,Fighting,91,90,72,90,129,108,580,96.67,5,13.68771%,RU
145,659,Bunnelby,Normal,,38,36,38,32,36,57,237,39.5,6,0.01976%,RU
146,674,Pancham,Fighting,,67,82,62,46,48,43,348,58.0,6,0.00001%,RU
147,678,Meowstic,Psychic,,74,48,76,83,81,104,466,77.67,6,0.20426%,RU
148,679,Honedge,Steel,Ghost,45,80,100,35,37,28,325,54.17,6,0.00231%,RU
149,682,Spritzee,Fairy,,78,52,60,63,65,23,341,56.83,6,0.00080%,RU
150,683,Aromatisse,Fairy,,101,72,72,99,89,29,462,77.0,6,7.89678%,RU
151,684,Swirlix,Fairy,,62,48,66,59,57,49,341,56.83,6,0.00183%,RU
152,685,Slurpuff,Fairy,,82,80,86,85,75,72,480,80.0,6,4.15183%,RU
153,687,Malamar,Dark,Psychic,86,92,88,68,75,73,482,80.33,6,3.68140%,RU
154,694,Helioptile,Electric,Normal,44,38,33,61,43,70,289,48.17,6,0.00002%,RU
155,705,Sliggoo,Dragon,,68,75,53,83,113,60,452,75.33,6,0.51234%,RU
156,709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474,79.0,6,0.05644%,RU
157,712,Bergmite,Ice,,55,69,85,32,35,28,304,50.67,6,0.00001%,RU
158,722,Rowlet,Grass,Flying,68,55,55,50,50,42,320,53.33,7,0.00004%,RU
159,724,Decidueye,Grass,Ghost,78,107,75,100,100,70,530,88.33,7,3.64621%,RU
160,725,Litten,Fire,,45,65,40,60,40,70,320,53.33,7,0.00004%,RU
161,726,Torracat,Fire,,65,85,50,80,50,90,420,70.0,7,0.03356%,RU
162,729,Brionne,Water,,60,69,69,91,81,50,420,70.0,7,0.00267%,RU
163,737,Charjabug,Bug,Electric,57,82,95,55,75,36,400,66.67,7,0.00035%,RU
164,738,Vikavolt,Bug,Electric,77,70,90,145,75,43,500,83.33,7,9.20470%,RU
165,747,Mareanie,Poison,Water,50,53,62,43,52,45,305,50.83,7,0.03506%,RU
166,750,Mudsdale,Ground,,100,125,100,55,85,35,500,83.33,7,7.15428%,RU
167,751,Dewpider,Water,Bug,38,40,52,40,72,27,269,44.83,7,0.00434%,RU
168,756,Shiinotic,Grass,Fairy,60,45,80,90,100,30,405,67.5,7,0.01261%,RU
169,758,Salazzle,Poison,Fire,68,64,60,111,60,117,480,80.0,7,18.22765%,RU
170,760,Bewear,Normal,Fighting,120,125,80,55,60,60,500,83.33,7,6.64078%,RU
171,765,Oranguru,Normal,Psychic,90,60,80,90,110,60,490,81.67,7,0.00308%,RU
172,766,Passimian,Fighting,,100,120,90,40,60,80,490,81.67,7,23.81958%,RU
173,771,Pyukumuku,Water,,55,60,130,30,130,5,410,68.33,7,1.04904%,RU
174,772,Type: Null,Normal,,95,95,95,95,95,59,534,89.0,7,0.02827%,RU
175,773,Silvally,Normal,,95,95,95,95,95,95,570,95.0,7,0.09123%,RU
176,776,Turtonator,Fire,Dragon,60,78,135,91,85,36,485,80.83,7,6.33408%,RU
177,777,Togedemaru,Electric,Steel,65,98,63,40,73,96,435,72.5,7,3.80123%,RU
178,780,Drampa,Normal,Dragon,78,60,85,135,91,36,485,80.83,7,5.34855%,RU
179,781,Dhelmise,Ghost,Grass,70,131,100,86,90,40,517,86.17,7,4.28196%,RU
180,783,Hakamo-o,Dragon,Fighting,55,75,90,65,70,65,420,70.0,7,0.07074%,RU
181,790,Cosmoem,Psychic,,43,29,131,29,131,37,400,66.67,7,0.03520%,RU
182,808,Meltan,Steel,,46,65,65,55,35,34,300,50.0,7,0.01489%,RU
183,812,Rillaboom,Grass,,100,125,90,60,70,85,530,88.33,8,15.37126%,RU
184,814,Raboot,Fire,,65,86,60,55,60,94,420,70.0,8,0.01649%,RU
185,816,Sobble,Water,,50,40,40,70,40,70,310,51.67,8,0.00004%,RU
186,817,Drizzile,Water,,65,60,55,95,55,90,420,70.0,8,0.00011%,RU
187,820,Greedent,Normal,,120,95,95,55,75,20,460,76.67,8,0.00483%,RU
188,822,Corvisquire,Flying,,68,67,55,43,55,77,365,60.83,8,0.00003%,RU
189,826,Orbeetle,Bug,Psychic,60,45,110,80,120,90,505,84.17,8,0.24022%,RU
190,828,Thievul,Dark,,70,58,58,87,92,90,455,75.83,8,0.06868%,RU
191,829,Gossifleur,Grass,,40,40,60,40,60,10,250,41.67,8,0.00001%,RU
192,830,Eldegoss,Grass,,60,50,90,80,120,60,460,76.67,8,0.95494%,RU
193,832,Dubwool,Normal,,72,80,100,60,90,88,490,81.67,8,0.20225%,RU
194,834,Drednaw,Water,Rock,90,115,90,48,68,74,485,80.83,8,4.02917%,RU
195,836,Boltund,Electric,,69,90,60,90,60,121,490,81.67,8,3.34276%,RU
196,838,Carkol,Rock,Fire,80,60,90,60,70,50,410,68.33,8,0.00898%,RU
197,839,Coalossal,Rock,Fire,110,80,120,80,90,30,510,85.0,8,16.57695%,RU
198,841,Flapple,"Grass
",Dragon,70,110,80,95,60,70,485,80.83,8,1.99519%,RU
199,842,Appletun,Grass,"Dragon
",110,85,80,100,80,30,485,80.83,8,0.86051%,RU
200,844,Sandaconda,Ground,,72,107,125,65,70,71,510,85.0,8,0.49912%,RU
201,845,Cramorant,Flying,Water,70,85,55,85,95,85,475,79.17,8,7.32421%,RU
202,847,Barraskewda,Water,,61,123,60,60,50,136,490,81.67,8,4.69603%,RU
203,851,Centiskorch,Fire,Bug,100,115,65,90,90,65,525,87.5,8,5.17867%,RU
204,852,Clobbopus,Fighting,,50,68,60,50,50,32,310,51.67,8,0.00030%,RU
205,853,Grapploct,Fighting,,80,118,90,70,80,42,480,80.0,8,0.00227%,RU
206,854,Sinistea,Ghost,,40,45,45,74,54,50,308,51.33,8,0.00155%,RU
207,857,Hattrem,Psychic,,57,40,65,86,73,49,370,61.67,8,0.03773%,RU
208,860,Morgrem,Dark,Fairy,65,60,45,75,55,70,370,61.67,8,0.12687%,RU
209,863,Perrserker,Steel,,70,110,100,50,60,50,440,73.33,8,0.26866%,RU
210,864,Cursola,Ghost,,60,95,50,145,130,30,510,85.0,8,0.51089%,RU
211,866,Mr. Rime,Ice,Psychic,80,85,75,110,100,70,520,86.67,8,0.73545%,RU
212,867,Runerigus,Ground,Ghost,58,95,145,50,105,30,483,80.5,8,5.31016%,RU
213,869,Alcremie,Fairy,,65,60,75,110,121,64,495,82.5,8,0.87871%,RU
214,870,Falinks,Fighting,,65,100,100,70,60,75,470,78.33,8,0.16892%,RU
215,871,Pincurchin,Electric,,48,101,95,91,85,15,435,72.5,8,0.66016%,RU
216,873,Frosmoth,Ice,Bug,70,65,60,125,90,65,475,79.17,8,4.52265%,RU
217,874,Stonjourner,Rock,,100,125,135,20,20,70,470,78.33,8,0.13909%,RU
218,877,Morpeko,Electric,Dark,58,95,58,70,58,97,436,72.67,8,6.00128%,RU
219,879,Copperajah,Steel,,122,130,69,80,69,30,500,83.33,8,15.06932%,RU
220,881,Arctozolt,Electric,Ice,90,100,90,90,80,55,505,84.17,8,0.49840%,RU
221,883,Arctovish,Water,Ice,90,90,100,80,90,55,505,84.17,8,0.82586%,RU
222,886,Drakloak,Dragon,Ghost,68,80,50,60,50,102,410,68.33,8,0.02825%,RU
