,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Usage Rate,Tier
52,224,Octillery,Water,,75,105,75,105,75,45,480,80.0,2,0.05201%,NU
53,225,Delibird,Ice,Flying,45,55,45,65,45,75,330,55.0,2,0.00345%,NU
54,237,Hitmontop,Fighting,,50,95,95,35,110,70,455,75.83,2,2.15095%,NU
55,247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,68.33,2,0.00001%,NU
56,247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,68.33,2,0.00013%,NU
57,263,Zigzagoon,Normal,,38,30,41,30,41,60,240,40.0,3,0.00001%,NU
58,272,Ludicolo,Water,Grass,80,70,70,90,100,70,480,80.0,3,0.92663%,NU
59,273,Seedot,Grass,,40,40,50,30,30,30,220,36.67,3,0.00080%,NU
60,274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,340,56.67,3,0.00042%,NU
61,280,Ralts,Psychic,Fairy,28,25,25,45,35,40,198,33.0,3,0.00003%,NU
62,281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278,46.33,3,0.00003%,NU
63,281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278,46.33,3,0.00018%,NU
64,291,Ninjask,Bug,Flying,61,90,45,50,50,160,456,76.0,3,9.92055%,NU
65,292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236,39.33,3,0.18429%,NU
66,303,Mawile,Steel,Fairy,50,85,85,55,55,50,380,63.33,3,4.93407%,NU
67,310,Manectric,Electric,,70,75,60,105,60,105,475,79.17,3,0.24639%,NU
68,315,Roselia,Grass,Poison,50,60,45,100,80,65,400,66.67,3,0.27828%,NU
69,321,Wailord,Water,,170,90,45,90,45,60,500,83.33,3,0.01991%,NU
70,328,Trapinch,Ground,,45,100,45,45,45,10,290,48.33,3,0.00196%,NU
71,328,Trapinch,Ground,,45,100,45,45,45,10,290,48.33,3,0.00074%,NU
72,329,Vibrava,Ground,Dragon,50,70,50,50,50,70,340,56.67,3,0.05406%,NU
73,337,Lunatone,Rock,Psychic,90,55,65,95,85,70,460,76.67,3,0.14904%,NU
74,338,Solrock,Rock,Psychic,90,95,85,55,65,70,460,76.67,3,0.18303%,NU
75,340,Whiscash,Water,Ground,110,78,73,76,71,60,468,78.0,3,0.07166%,NU
76,341,Corphish,Water,,43,80,65,50,35,35,308,51.33,3,0.00001%,NU
77,343,Baltoy,Ground,Psychic,40,40,55,40,70,55,300,50.0,3,0.00001%,NU
78,356,Dusclops,Ghost,,40,70,130,60,130,25,455,75.83,3,0.12596%,NU
79,362,Glalie,Ice,,80,80,80,80,80,80,480,80.0,3,0.00023%,NU
80,416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474,79.0,4,0.10113%,NU
81,420,Cherubi,Grass,,45,35,45,62,53,35,275,45.83,4,0.00001%,NU
82,421,Cherrim,Grass,,70,60,70,87,78,85,450,75.0,4,0.00291%,NU
83,422,Shellos,Water,,76,48,48,57,62,34,325,54.17,4,0.02753%,NU
84,425,Drifloon,Ghost,Flying,90,50,34,60,44,70,348,58.0,4,0.00002%,NU
85,426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498,83.0,4,7.06453%,NU
86,435,Skuntank,Poison,Dark,103,93,67,71,61,84,479,79.83,4,8.07930%,NU
87,436,Bronzor,Steel,Psychic,57,24,86,24,86,23,300,50.0,4,0.25600%,NU
88,446,Munchlax,Normal,,135,85,40,40,85,5,390,65.0,4,0.11301%,NU
89,447,Riolu,Fighting,,40,70,40,35,40,60,285,47.5,4,0.00011%,NU
90,449,Hippopotas,Ground,,68,72,78,38,42,32,330,55.0,4,0.04210%,NU
91,449,Hippopotas,Ground,,68,72,78,38,42,32,330,55.0,4,0.00208%,NU
92,454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,81.67,4,19.18346%,NU
93,458,Mantyke,Water,Flying,45,20,50,60,120,50,345,57.5,4,0.00062%,NU
94,460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,82.33,4,11.13338%,NU
95,470,Leafeon,Grass,,65,110,130,60,65,95,525,87.5,4,3.56299%,NU
96,471,Glaceon,Ice,,65,60,110,130,95,65,525,87.5,4,1.50185%,NU
97,477,Dusknoir,Ghost,,45,100,135,65,135,45,525,87.5,4,0.13304%,NU
98,478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,80.0,4,5.62476%,NU
99,509,Purrloin,Dark,,41,50,37,50,37,66,281,46.83,5,0.00001%,NU
100,510,Liepard,Dark,,64,88,50,88,50,106,446,74.33,5,6.70960%,NU
101,518,Musharna,Psychic,,116,55,85,107,95,29,487,81.17,5,0.33960%,NU
102,520,Tranquill,Normal,Flying,62,77,62,50,42,65,358,59.67,5,0.00001%,NU
103,521,Unfezant,Normal,Flying,80,115,80,65,55,93,488,81.33,5,5.03873%,NU
104,524,Roggenrola,Rock,,55,75,85,25,25,15,280,46.67,5,0.00004%,NU
105,525,Boldore,Rock,,70,105,105,50,40,20,390,65.0,5,0.00240%,NU
106,525,Boldore,Rock,,70,105,105,50,40,20,390,65.0,5,0.00029%,NU
107,528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425,70.83,5,1.23248%,NU
108,529,Drilbur,Ground,,60,85,40,30,45,68,328,54.67,5,0.03859%,NU
109,535,Tympole,Water,,50,50,40,50,40,64,294,49.0,5,0.00055%,NU
110,535,Tympole,Water,,50,50,40,50,40,64,294,49.0,5,0.00003%,NU
111,536,Palpitoad,Water,Ground,75,65,55,65,55,69,384,64.0,5,0.11227%,NU
112,538,Throh,Fighting,,120,100,85,30,85,45,465,77.5,5,0.95228%,NU
113,539,Sawk,Fighting,,75,125,75,30,75,85,465,77.5,5,9.06031%,NU
114,546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,46.67,5,0.00639%,NU
115,546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,46.67,5,0.00001%,NU
116,550,Basculin,Water,,70,92,65,80,55,98,460,76.67,5,0.84339%,NU
117,554,Darumaka,Fire,,70,90,45,15,45,50,315,52.5,5,0.00004%,NU
118,554,Darumaka,Fire,,70,90,45,15,45,50,315,52.5,5,0.00012%,NU
119,556,Maractus,Grass,,75,86,67,106,67,60,461,76.83,5,1.27003%,NU
120,557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,54.17,5,0.01735%,NU
121,557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,54.17,5,0.00006%,NU
122,558,Crustle,Bug,Rock,70,105,125,65,75,45,485,80.83,5,1.88970%,NU
123,559,Scraggy,Dark,Fighting,50,75,70,35,70,48,348,58.0,5,0.00208%,NU
124,563,Cofagrigus,Ghost,,58,50,145,95,105,30,483,80.5,5,21.84802%,NU
125,569,Garbodor,Poison,,80,95,82,60,82,75,474,79.0,5,16.22103%,NU
126,576,Gothitelle,Psychic,,70,55,95,95,110,65,490,81.67,5,0.70349%,NU
127,577,Solosis,Psychic,,45,30,40,105,50,20,290,48.33,5,0.00011%,NU
128,578,Duosion,Psychic,,65,40,50,125,60,30,370,61.67,5,0.06363%,NU
129,592,Frillish,Water,Ghost,55,40,50,65,85,40,335,55.83,5,0.09331%,NU
130,597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305,50.83,5,8.56713%,NU
131,600,Klang,Steel,,60,80,95,70,85,50,440,73.33,5,0.06169%,NU
132,600,Klang,Steel,,60,80,95,70,85,50,440,73.33,5,0.00015%,NU
133,601,Klinklang,Steel,,60,100,115,70,85,90,520,86.67,5,4.99419%,NU
134,605,Elgyem,Psychic,,55,55,55,85,55,30,335,55.83,5,0.00034%,NU
135,606,Beheeyem,Psychic,,75,75,75,125,95,40,485,80.83,5,0.17383%,NU
136,608,Lampent,Ghost,Fire,60,40,60,95,60,55,370,61.67,5,0.00158%,NU
137,608,Lampent,Ghost,Fire,60,40,60,95,60,55,370,61.67,5,0.00055%,NU
138,611,Fraxure,Dragon,,66,117,70,40,50,67,410,68.33,5,0.34195%,NU
139,614,Beartic,Ice,,95,130,80,70,80,50,505,84.17,5,0.61075%,NU
140,616,Shelmet,Bug,,50,40,85,40,65,25,305,50.83,5,0.00007%,NU
141,616,Shelmet,Bug,,50,40,85,40,65,25,305,50.83,5,0.00001%,NU
142,623,Golurk,Ground,Ghost,89,124,80,55,80,55,483,80.5,5,7.38041%,NU
143,624,Pawniard,Dark,Steel,45,85,70,40,40,60,340,56.67,5,0.72117%,NU
144,627,Rufflet,Normal,Flying,70,83,50,37,50,60,350,58.33,5,0.00025%,NU
145,629,Vullaby,Dark,Flying,70,55,75,45,65,60,370,61.67,5,0.14338%,NU
146,631,Heatmor,Fire,,85,97,66,105,66,65,484,80.67,5,0.60307%,NU
147,633,Deino,Dark,Dragon,52,65,50,45,50,38,300,50.0,5,0.00004%,NU
148,634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420,70.0,5,0.02070%,NU
149,674,Pancham,Fighting,,67,82,62,46,48,43,348,58.0,6,0.00001%,NU
150,678,Meowstic,Psychic,,74,48,76,83,81,104,466,77.67,6,0.23657%,NU
151,679,Honedge,Steel,Ghost,45,80,100,35,37,28,325,54.17,6,0.00003%,NU
152,682,Spritzee,Fairy,,78,52,60,63,65,23,341,56.83,6,0.00154%,NU
153,682,Spritzee,Fairy,,78,52,60,63,65,23,341,56.83,6,0.00080%,NU
154,684,Swirlix,Fairy,,62,48,66,59,57,49,341,56.83,6,0.00030%,NU
155,684,Swirlix,Fairy,,62,48,66,59,57,49,341,56.83,6,0.00183%,NU
156,687,Malamar,Dark,Psychic,86,92,88,68,75,73,482,80.33,6,10.91252%,NU
157,688,Binacle,Rock,Water,42,52,67,39,56,50,306,51.0,6,0.01541%,NU
158,694,Helioptile,Electric,Normal,44,38,33,61,43,70,289,48.17,6,0.00005%,NU
159,694,Helioptile,Electric,Normal,44,38,33,61,43,70,289,48.17,6,0.00002%,NU
160,705,Sliggoo,Dragon,,68,75,53,83,113,60,452,75.33,6,0.08023%,NU
161,709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474,79.0,6,0.10119%,NU
162,712,Bergmite,Ice,,55,69,85,32,35,28,304,50.67,6,0.00001%,NU
163,722,Rowlet,Grass,Flying,68,55,55,50,50,42,320,53.33,7,0.00004%,NU
164,723,Dartrix,Grass,Flying,78,75,75,70,70,52,420,70.0,7,0.00282%,NU
165,725,Litten,Fire,,45,65,40,60,40,70,320,53.33,7,0.00004%,NU
166,726,Torracat,Fire,,65,85,50,80,50,90,420,70.0,7,0.28480%,NU
167,729,Brionne,Water,,60,69,69,91,81,50,420,70.0,7,0.00001%,NU
168,737,Charjabug,Bug,Electric,57,82,95,55,75,36,400,66.67,7,0.01237%,NU
169,737,Charjabug,Bug,Electric,57,82,95,55,75,36,400,66.67,7,0.00035%,NU
170,742,Cutiefly,Bug,Fairy,40,45,40,55,40,84,304,50.67,7,0.00181%,NU
171,747,Mareanie,Poison,Water,50,53,62,43,52,45,305,50.83,7,0.36079%,NU
172,749,Mudbray,Ground,,70,100,70,45,55,45,385,64.17,7,0.01091%,NU
173,751,Dewpider,Water,Bug,38,40,52,40,72,27,269,44.83,7,0.00013%,NU
174,756,Shiinotic,Grass,Fairy,60,45,80,90,100,30,405,67.5,7,0.29282%,NU
175,757,Salandit,Poison,Fire,48,44,40,71,40,77,320,53.33,7,0.00028%,NU
176,759,Stufful,Normal,Fighting,70,75,50,45,50,50,340,56.67,7,0.00007%,NU
177,762,Steenee,Grass,,52,40,48,40,48,62,290,48.33,7,0.00001%,NU
178,765,Oranguru,Normal,Psychic,90,60,80,90,110,60,490,81.67,7,0.09185%,NU
179,771,Pyukumuku,Water,,55,60,130,30,130,5,410,68.33,7,0.76551%,NU
180,772,Type: Null,Normal,,95,95,95,95,95,59,534,89.0,7,1.71977%,NU
181,773,Silvally,Normal,,95,95,95,95,95,95,570,95.0,7,2.00305%,NU
182,777,Togedemaru,Electric,Steel,65,98,63,40,73,96,435,72.5,7,27.07538%,NU
183,780,Drampa,Normal,Dragon,78,60,85,135,91,36,485,80.83,7,14.67933%,NU
184,783,Hakamo-o,Dragon,Fighting,55,75,90,65,70,65,420,70.0,7,0.00444%,NU
185,790,Cosmoem,Psychic,,43,29,131,29,131,37,400,66.67,7,0.02638%,NU
186,811,Thwackey,Grass,,70,85,70,55,60,80,420,70.0,8,0.00473%,NU
187,814,Raboot,Fire,,65,86,60,55,60,94,420,70.0,8,0.03699%,NU
188,816,Sobble,Water,,50,40,40,70,40,70,310,51.67,8,0.00004%,NU
189,817,Drizzile,Water,,65,60,55,95,55,90,420,70.0,8,0.03718%,NU
190,817,Drizzile,Water,,65,60,55,95,55,90,420,70.0,8,0.00011%,NU
191,820,Greedent,Normal,,120,95,95,55,75,20,460,76.67,8,0.02560%,NU
192,822,Corvisquire,Flying,,68,67,55,43,55,77,365,60.83,8,0.00018%,NU
193,822,Corvisquire,Flying,,68,67,55,43,55,77,365,60.83,8,0.00003%,NU
194,825,Dottler,Bug,Psychic,50,35,80,50,90,30,335,55.83,8,0.00849%,NU
195,826,Orbeetle,Bug,Psychic,60,45,110,80,120,90,505,84.17,8,4.48811%,NU
196,828,Thievul,Dark,,70,58,58,87,92,90,455,75.83,8,1.61057%,NU
197,829,Gossifleur,Grass,,40,40,60,40,60,10,250,41.67,8,0.00001%,NU
198,830,Eldegoss,Grass,,60,50,90,80,120,60,460,76.67,8,17.89014%,NU
199,832,Dubwool,Normal,,72,80,100,60,90,88,490,81.67,8,2.49351%,NU
200,834,Drednaw,Water,Rock,90,115,90,48,68,74,485,80.83,8,4.86042%,NU
201,838,Carkol,Rock,Fire,80,60,90,60,70,50,410,68.33,8,1.15497%,NU
202,842,Appletun,Grass,"Dragon
",110,85,80,100,80,30,485,80.83,8,2.22610%,NU
203,844,Sandaconda,Ground,,72,107,125,65,70,71,510,85.0,8,26.42466%,NU
204,846,Arrokuda,Water,,41,63,40,40,30,66,280,46.67,8,0.00004%,NU
205,852,Clobbopus,Fighting,,50,68,60,50,50,32,310,51.67,8,0.00030%,NU
206,853,Grapploct,Fighting,,80,118,90,70,80,42,480,80.0,8,0.07851%,NU
207,853,Grapploct,Fighting,,80,118,90,70,80,42,480,80.0,8,0.00227%,NU
208,854,Sinistea,Ghost,,40,45,45,74,54,50,308,51.33,8,0.00001%,NU
209,854,Sinistea,Ghost,,40,45,45,74,54,50,308,51.33,8,0.00155%,NU
210,857,Hattrem,Psychic,,57,40,65,86,73,49,370,61.67,8,6.35363%,NU
211,860,Morgrem,Dark,Fairy,65,60,45,75,55,70,370,61.67,8,0.06697%,NU
212,863,Perrserker,Steel,,70,110,100,50,60,50,440,73.33,8,4.95879%,NU
213,864,Cursola,Ghost,,60,95,50,145,130,30,510,85.0,8,7.04459%,NU
214,866,Mr. Rime,Ice,Psychic,80,85,75,110,100,70,520,86.67,8,3.34063%,NU
215,869,Alcremie,Fairy,,65,60,75,110,121,64,495,82.5,8,9.73630%,NU
216,870,Falinks,Fighting,,65,100,100,70,60,75,470,78.33,8,1.79389%,NU
217,871,Pincurchin,Electric,,48,101,95,91,85,15,435,72.5,8,0.10565%,NU
218,874,Stonjourner,Rock,,100,125,135,20,20,70,470,78.33,8,1.02128%,NU
219,881,Arctozolt,Electric,Ice,90,100,90,90,80,55,505,84.17,8,0.44822%,NU
220,883,Arctovish,Water,Ice,90,90,100,80,90,55,505,84.17,8,5.29169%,NU
221,886,Drakloak,Dragon,Ghost,68,80,50,60,50,102,410,68.33,8,0.68384%,NU
